ms,op,i
0.107372,in,11
2.110932,out,0
2.834971,out,1
3.546202,out,2
3.557098,out,3
4.176607,out,4
4.185318,out,5
4.684398,out,6
5.318863,out,7
5.975274,out,8
5.983894,out,9
6.537836,out,10
7.302222,out,11
8.141629,out,12
8.151142,out,13
9.810387,out,14
10.303206,out,15
10.318128,out,16
10.770063,out,17
10.870674,out,18
11.295760,out,19
11.305928,out,20
60.430868,in,17
61.551731,out,0
62.049429,out,1
62.061752,out,2
62.581514,out,3
62.793627,out,4
63.126487,out,5
63.745279,out,6
63.756970,out,7
64.627010,out,8
65.430790,out,9
67.056576,out,10
67.428688,out,11
67.728904,out,12
67.743794,out,13
68.248958,out,14
68.255793,out,15
68.755040,out,16
68.761768,out,17
69.344366,out,18
70.036951,out,19
70.046692,out,20
70.507646,out,21
70.513962,out,22
71.075440,out,23
71.085050,out,24
71.494212,out,25
71.665911,out,26
89.797275,in,1
92.109767,out,0
92.125833,out,1
92.694113,out,2
92.702123,out,3
93.324796,out,4
93.771787,out,5
94.229093,out,6
94.263941,out,7
94.781608,out,8
94.922799,out,9
95.328185,out,10
127.058537,in,25
128.675726,out,0
128.694778,out,1
129.600561,out,2
129.609553,out,3
130.375108,out,4
131.790729,out,5
131.807720,out,6
132.323257,out,7
132.330687,out,8
132.833631,out,9
132.840121,out,10
133.331621,out,11
133.338140,out,12
134.114553,out,13
134.126599,out,14
134.623630,out,15
134.631561,out,16
135.162249,out,17
135.664293,out,18
135.674112,out,19
136.410990,out,20
136.679711,out,21
137.063026,out,22
137.985162,out,23
138.311513,out,24
138.325521,out,25
138.623943,out,26
139.000534,out,27
139.007776,out,28
139.543713,out,29
139.552287,out,30
139.938391,out,31
139.943734,out,32
140.323551,out,33
140.328720,out,34
166.860654,in,16
168.158472,out,0
168.821668,out,1
169.461755,out,2
169.733838,out,3
171.286647,out,4
171.303216,out,5
171.911957,out,6
171.922326,out,7
172.478883,out,8
172.487058,out,9
173.047446,out,10
173.057139,out,11
173.570981,out,12
173.771506,out,13
174.116215,out,14
174.448230,out,15
174.801541,out,16
175.039712,out,17
175.311315,out,18
175.559183,out,19
176.190405,out,20
176.224096,out,21
177.136736,out,22
177.147596,out,23
177.430744,out,24
177.839021,out,25
185.175792,in,14
186.717494,out,0
186.757511,out,1
188.122160,out,2
188.582354,out,3
188.594950,out,4
189.368353,out,5
189.380590,out,6
190.021863,out,7
190.041322,out,8
190.490575,out,9
190.885556,out,10
191.894228,out,11
192.419425,out,12
192.690937,out,13
193.107940,out,14
193.120071,out,15
193.624656,out,16
193.631954,out,17
194.122248,out,18
194.128789,out,19
194.768041,out,20
194.778081,out,21
195.257763,out,22
195.265773,out,23
201.733688,in,12
202.609133,out,0
202.619915,out,1
222.418448,out,2
222.910554,out,3
222.925547,out,4
223.525998,out,5
223.536230,out,6
224.038510,out,7
224.045352,out,8
224.544765,out,9
224.551406,out,10
225.048778,out,11
225.055170,out,12
225.539466,out,13
226.119256,out,14
226.145315,out,15
226.757714,out,16
226.767264,out,17
227.181555,out,18
228.064524,out,19
228.310583,out,20
228.540688,out,21
231.292380,in,28
232.467439,out,0
232.478538,out,1
233.000947,out,2
233.007677,out,3
233.899591,out,4
233.910978,out,5
234.417420,out,6
234.424281,out,7
234.950653,out,8
234.958089,out,9
235.413698,out,10
237.805594,out,11
238.489881,out,12
238.595408,out,13
239.050946,out,14
239.063813,out,15
239.542071,out,16
239.548696,out,17
239.991946,out,18
240.328321,out,19
240.612945,out,20
240.622023,out,21
241.156260,out,22
241.422518,out,23
241.453470,out,24
241.866630,out,25
241.872270,out,26
242.263256,out,27
242.622580,out,28
248.346560,out,29
248.375542,out,30
248.887984,out,31
249.495709,out,32
249.507133,out,33
250.061815,out,34
250.069799,out,35
250.600000,out,36
250.932861,out,37
277.117023,in,21
278.311585,out,0
278.324839,out,1
278.892558,out,2
278.900601,out,3
279.625170,out,4
279.635430,out,5
280.216497,out,6
282.787532,out,7
286.636989,out,8
286.651875,out,9
287.160912,out,10
287.168967,out,11
287.712544,out,12
288.121016,out,13
288.594972,out,14
289.210466,out,15
289.220371,out,16
289.731769,out,17
290.147272,out,18
290.494509,out,19
290.952243,out,20
291.245480,out,21
291.658900,out,22
292.070419,out,23
292.296588,out,24
293.342977,out,25
293.870827,out,26
294.273559,out,27
294.284410,out,28
294.710717,out,29
294.716948,out,30
297.669374,in,17
298.534984,out,0
298.950098,out,1
298.962558,out,2
299.375113,out,3
299.609548,out,4
299.917576,out,5
300.362191,out,6
300.515334,out,7
300.968069,out,8
300.978506,out,9
301.308673,out,10
302.164273,out,11
302.589282,out,12
302.602351,out,13
303.249576,out,14
303.260593,out,15
303.784910,out,16
303.793926,out,17
304.247222,out,18
304.253483,out,19
304.700361,out,20
304.706645,out,21
305.067091,out,22
305.339741,out,23
305.682706,out,24
306.101042,out,25
306.110477,out,26
346.650699,in,5
347.611269,out,0
348.389237,out,1
348.462329,out,2
348.903951,out,3
349.252143,out,4
349.266363,out,5
349.813001,out,6
350.041264,out,7
350.464174,out,8
350.473898,out,9
350.900787,out,10
350.906658,out,11
351.302593,out,12
351.629939,out,13
351.638907,out,14
386.608154,in,8
389.944248,out,0
391.455808,out,1
391.983248,out,2
392.424535,out,3
392.437959,out,4
393.050450,out,5
393.329798,out,6
393.528160,out,7
394.034857,out,8
394.045391,out,9
394.324602,out,10
394.800813,out,11
394.963261,out,12
395.357796,out,13
395.808311,out,14
395.818287,out,15
396.211155,out,16
396.437790,out,17
416.826886,in,27
419.206333,out,0
419.223845,out,1
419.872092,out,2
419.935668,out,3
420.537048,out,4
421.209898,out,5
421.701975,out,6
422.245428,out,7
422.835715,out,8
423.259205,out,9
423.730491,out,10
424.068729,out,11
424.136501,in,7
424.898246,out,12
424.909264,out,0
425.308203,out,1
430.681189,out,2
431.222082,out,3
431.748072,out,4
432.034373,out,5
432.046526,out,6
432.506392,out,7
432.513578,out,8
433.042872,out,9
433.484507,out,10
433.696503,out,11
434.054430,out,12
434.171410,out,13
434.515702,out,14
434.761946,out,15
435.019644,out,16
457.623579,in,0
459.023519,out,0
459.040961,out,1
461.142177,out,2
461.162129,out,3
461.719131,out,4
462.135540,out,5
462.146888,out,6
462.731239,out,7
463.179906,out,8
463.202285,out,9
488.599293,in,1
489.927288,out,0
490.522850,out,1
490.542900,out,2
491.285954,out,3
491.330558,out,4
491.923235,out,5
491.934194,out,6
492.781227,out,7
493.668202,out,8
493.926195,out,9
494.302804,out,10
526.815776,in,17
528.386322,out,0
528.406363,out,1
528.894085,out,2
529.392672,out,3
529.696970,out,4
529.929547,out,5
530.193029,out,6
530.474199,out,7
530.959024,out,8
530.970866,out,9
531.524349,out,10
531.531733,out,11
532.294241,out,12
533.154029,out,13
533.849831,out,14
534.228206,out,15
534.584555,out,16
535.351140,out,17
535.486784,out,18
536.003160,out,19
536.017228,out,20
536.478987,out,21
536.809893,out,22
537.264148,out,23
537.657913,out,24
538.107723,out,25
538.117639,out,26
577.254852,in,9
593.988624,out,0
595.537282,out,1
595.552843,out,2
595.955709,out,3
596.522611,out,4
596.859837,out,5
597.420204,out,6
597.433172,out,7
597.988039,out,8
597.995691,out,9
598.511772,out,10
599.034373,out,11
599.044998,out,12
599.413309,out,13
599.848964,out,14
600.130175,out,15
600.534311,out,16
600.544786,out,17
601.693350,out,18
604.294798,in,27
605.237796,out,0
605.249983,out,1
605.923864,out,2
606.358482,out,3
606.370561,out,4
606.905330,out,5
606.914474,out,6
607.433379,out,7
607.680040,out,8
608.080586,out,9
608.428569,out,10
608.439582,out,11
608.943083,out,12
608.950078,out,13
609.736104,out,14
610.307012,out,15
610.742155,out,16
610.754240,out,17
611.217667,out,18
611.224639,out,19
611.821583,out,20
611.830789,out,21
612.257432,out,22
612.263715,out,23
612.680720,out,24
612.686402,out,25
613.127902,out,26
613.135525,out,27
613.583758,out,28
613.590863,out,29
614.089485,out,30
614.299939,out,31
615.006545,out,32
615.361512,out,33
615.698226,out,34
615.709250,out,35
616.010041,out,36
626.625606,in,15
628.064019,out,0
628.690654,out,1
628.712023,out,2
629.617453,out,3
630.130427,out,4
630.647427,out,5
631.070470,out,6
631.082523,out,7
631.583310,out,8
632.227740,out,9
632.239742,out,10
633.749967,out,11
633.765427,out,12
634.275990,out,13
634.283245,out,14
634.783527,out,15
634.790181,out,16
635.273969,out,17
635.280576,out,18
635.784449,out,19
635.792181,out,20
636.144759,out,21
636.596729,out,22
637.082166,out,23
637.092549,out,24
664.742080,in,13
665.569809,out,0
665.580977,out,1
666.794906,out,2
667.299542,out,3
667.311335,out,4
667.726916,out,5
667.733074,out,6
668.158671,out,7
668.164564,out,8
668.568189,out,9
668.573968,out,10
669.129734,out,11
669.526288,out,12
670.036759,out,13
670.594937,out,14
671.138916,out,15
671.511223,out,16
671.998819,out,17
696.864643,out,18
697.684119,out,19
698.036010,out,20
698.047744,out,21
698.353402,out,22
706.433075,in,4
707.159231,out,0
707.169490,out,1
707.580360,out,2
707.586017,out,3
707.987325,out,4
707.992630,out,5
708.632304,out,6
708.641110,out,7
709.052387,out,8
709.163668,out,9
709.620661,out,10
709.629276,out,11
710.622819,out,12
710.825332,out,13
726.650936,in,13
727.545792,out,0
727.555731,out,1
728.278528,out,2
728.526971,out,3
728.535774,out,4
728.944475,out,5
728.949778,out,6
729.366684,out,7
729.372052,out,8
730.052415,out,9
730.327180,out,10
730.336183,out,11
730.970286,out,12
730.979079,out,13
733.060226,out,14
733.494480,out,15
733.508041,out,16
733.871514,out,17
734.403884,out,18
734.413255,out,19
734.966456,out,20
734.976020,out,21
735.309986,out,22
757.071468,in,28
758.381687,out,0
758.889454,out,1
759.256376,out,2
759.893772,out,3
760.142905,out,4
760.516358,out,5
761.391586,out,6
762.149871,out,7
762.598183,out,8
762.612064,out,9
763.180720,out,10
763.655964,out,11
763.666981,out,12
764.199235,out,13
764.399446,out,14
764.883113,out,15
764.894147,out,16
765.393968,out,17
765.401471,out,18
765.998715,out,19
766.010928,out,20
766.430363,out,21
766.810295,out,22
766.819990,out,23
767.996564,out,24
768.427180,out,25
768.438057,out,26
768.876088,out,27
768.883078,out,28
769.297993,out,29
769.636839,out,30
769.645564,out,31
770.054206,out,32
770.169090,out,33
770.688517,out,34
770.921725,out,35
770.930551,out,36
771.305375,out,37
786.351202,in,19
787.218442,out,0
787.229499,out,1
788.377735,out,2
788.860677,out,3
788.872428,out,4
789.296938,out,5
789.303820,out,6
789.736420,out,7
789.791716,in,27
789.961589,out,8
790.573730,out,0
790.582900,out,1
791.171554,out,2
791.180214,out,3
791.612331,out,4
791.618093,out,5
792.031093,out,6
792.036309,out,7
793.816695,out,8
794.264553,out,9
794.656664,out,10
794.667168,out,11
795.298121,out,12
795.589232,out,13
795.598400,out,14
796.006487,out,15
796.012334,out,16
796.445187,out,17
796.451810,out,18
796.856558,out,19
796.862042,out,20
797.289933,out,21
797.295149,out,22
797.873087,out,23
797.882729,out,24
798.183935,out,25
799.070273,out,26
799.606883,out,27
799.617279,out,28
800.073924,out,29
800.316639,out,30
800.325236,out,31
800.833780,out,32
801.179637,out,33
801.189751,out,34
801.592999,out,35
801.598875,out,36
891.597322,in,9
892.611005,out,0
892.647745,out,1
893.047977,out,2
893.440617,out,3
894.412716,out,4
894.718936,out,5
895.179851,out,6
895.192490,out,7
895.661457,out,8
895.668052,out,9
896.118725,out,10
896.124974,out,11
896.644915,out,12
896.728846,out,13
897.281238,out,14
897.673598,out,15
897.685736,out,16
898.113458,out,17
898.119463,out,18
915.841187,in,10
917.491975,out,0
918.246948,out,1
918.258694,out,2
918.790130,out,3
918.799328,out,4
919.234832,out,5
919.241247,out,6
919.983039,out,7
919.998023,out,8
920.427929,out,9
920.435573,out,10
921.097960,out,11
921.113216,out,12
921.557767,out,13
921.566688,out,14
922.019539,out,15
922.354260,out,16
922.811313,out,17
924.074875,out,18
924.093535,out,19
941.538683,in,8
942.465918,out,0
942.485988,out,1
942.917421,out,2
942.925165,out,3
943.338927,out,4
943.346279,out,5
943.797989,out,6
943.808457,out,7
944.254409,out,8
944.278052,out,9
944.860971,out,10
944.873706,out,11
945.308139,out,12
945.316841,out,13
946.024857,in,13
946.605863,out,14
947.148994,out,0
947.167769,out,1
947.600966,out,2
947.609115,out,3
948.035965,out,4
948.042954,out,5
948.635142,out,6
948.650255,out,7
949.061601,out,8
949.068691,out,9
949.514129,out,10
949.522557,out,11
949.920858,out,12
950.524599,out,13
950.568579,out,14
951.390675,out,15
952.333436,out,16
952.679134,out,17
953.058761,out,18
953.470162,out,19
953.611146,out,20
953.958336,out,21
953.970116,out,22
